id,sourceName,locality,economicUnits,permanentEstablishments,temporaryEstablishments,economicHouseholds,personsEngaged,permanentPersonsEngaged,temporaryPersonsEngaged,economicHouseholdPersonsEngaged,xlsxRow,pdfPage,printedPage
district-jhenaidah,Jhenaidah,Rural,121861,46736,6108,69017,196628,103774,7653,85201,120,145,121
district-jhenaidah,Jhenaidah,Urban,45626,27414,2697,15515,105809,82011,3749,20049,121,145,121
district-khulna,Khulna,Total,237302,117096,14723,105483,531795,388106,18392,125297,122,145,121
district-khulna,Khulna,Rural,136644,57452,4886,74306,257555,164322,5806,87427,123,145,121
district-khulna,Khulna,Urban,100658,59644,9837,31177,274240,223784,12586,37870,124,145,121
district-kushtia,Kushtia,Total,192029,84358,5884,101787,379905,248235,7877,123793,125,145,121
district-kushtia,Kushtia,Rural,141252,54180,2721,84351,243622,138421,3721,101480,126,145,121
district-kushtia,Kushtia,Urban,50777,30178,3163,17436,136283,109814,4156,22313,127,145,121
district-magura,Magura,Total,93724,42744,3642,47338,162163,100998,4399,56766,128,145,121
district-magura,Magura,Rural,68151,26748,1652,39751,109007,59708,1989,47310,129,145,121
district-magura,Magura,Urban,25573,15996,1990,7587,53156,41290,2410,9456,130,145,121
district-meherpur,Meherpur,Total,63787,27248,1037,35502,110990,66033,1371,43586,131,145,121
district-meherpur,Meherpur,Rural,46109,17550,420,28139,71492,36980,522,33990,132,145,121
district-meherpur,Meherpur,Urban,17678,9698,617,7363,39498,29053,849,9596,133,145,121
district-narail,Narail,Total,57425,27280,1795,28350,98563,62046,2205,34312,134,145,121
district-narail,Narail,Rural,41997,18647,894,22456,67310,38987,1071,27252,135,145,121
district-narail,Narail,Urban,15428,8633,901,5894,31253,23059,1134,7060,136,145,121
district-satkhira,Satkhira,Total,181682,82501,8006,91175,339630,218427,10144,111059,137,145,121
district-satkhira,Satkhira,Rural,135677,56227,4596,74854,230616,133417,5516,91683,138,145,121
district-satkhira,Satkhira,Urban,46005,26274,3410,16321,109014,85010,4628,19376,139,145,121
division-mymensingh,Mymensingh Division,Total,775946,406335,35133,334478,1670093,1226090,43676,400327,140,145,121
division-mymensingh,Mymensingh Division,Rural,550419,264459,18198,267762,1079912,739679,21738,318495,141,146,122
division-mymensingh,Mymensingh Division,Urban,225527,141876,16935,66716,590181,486411,21938,81832,142,146,122
district-jamalpur,Jamalpur,Total,196224,85605,7723,102896,347171,213643,9345,124183,143,146,122
district-jamalpur,Jamalpur,Rural,134575,52906,3477,78192,213905,116306,4107,93492,144,146,122
district-jamalpur,Jamalpur,Urban,61649,32699,4246,24704,133266,97337,5238,30691,145,146,122
district-mymensingh,Mymensingh,Total,346455,198101,19109,129245,888712,710321,24286,154105,146,146,122
district-mymensingh,Mymensingh,Rural,245564,130820,10062,104682,585953,449562,12168,124223,147,146,122
district-mymensingh,Mymensingh,Urban,100891,67281,9047,24563,302759,260759,12118,29882,148,146,122
district-netrakona,Netrakona,Total,125393,73719,5378,46296,229787,165336,6363,58088,149,146,122
district-netrakona,Netrakona,Rural,95772,51710,3124,40938,158502,103818,3649,51035,150,146,122
district-netrakona,Netrakona,Urban,29621,22009,2254,5358,71285,61518,2714,7053,151,146,122
district-sherpur,Sherpur,Total,107874,48910,2923,56041,204423,136790,3682,63951,152,146,122
district-sherpur,Sherpur,Rural,74508,29023,1535,43950,121552,69993,1814,49745,153,146,122
district-sherpur,Sherpur,Urban,33366,19887,1388,12091,82871,66797,1868,14206,154,146,122
division-rajshahi,Rajshahi Division,Total,1680717,746918,69442,864357,3409316,2231470,94000,1083846,155,146,122
